# t(s)   rho_eff(J)   power(W)   rho_I(J)   rho_N(J)
2.376644178e-06  3.643766e+07  9.683424e+11  3.643766e+07  0.000000e+00
2.407915812e-06  3.659147e+07  5.578886e+12  3.659147e+07  0.000000e+00
2.439187446e-06  3.678659e+07  -2.717501e+11  3.678659e+07  0.000000e+00
2.470459080e-06  3.657447e+07  -1.061827e+13  3.657447e+07  0.000000e+00
2.501730714e-06  3.612248e+07  -6.255405e+12  3.612248e+07  0.000000e+00
2.533002348e-06  3.618324e+07  1.500540e+13  3.618324e+07  0.000000e+00
2.564273982e-06  3.706097e+07  2.853146e+13  3.706097e+07  0.000000e+00
2.595545616e-06  3.796769e+07  1.188954e+13  3.796769e+07  0.000000e+00
2.626817250e-06  3.780458e+07  -2.284189e+13  3.780458e+07  0.000000e+00
2.658088884e-06  3.653908e+07  -3.809870e+13  3.653908e+07  0.000000e+00
2.689360518e-06  3.542176e+07  -1.465842e+13  3.542176e+07  0.000000e+00
2.720632151e-06  3.562230e+07  2.289778e+13  3.562230e+07  0.000000e+00
2.751903785e-06  3.685387e+07  3.266880e+13  3.685387e+07  0.000000e+00
2.783175419e-06  3.766551e+07  3.961269e+12  3.766551e+07  0.000000e+00
2.814447053e-06  3.710162e+07  -3.015619e+13  3.710162e+07  0.000000e+00
2.845718687e-06  3.577945e+07  -3.132809e+13  3.577945e+07  0.000000e+00
2.876990321e-06  3.514226e+07  5.986923e+11  3.514226e+07  0.000000e+00
2.908261955e-06  3.581689e+07  2.962281e+13  3.581689e+07  0.000000e+00
2.939533589e-06  3.699496e+07  2.612042e+13  3.699496e+07  0.000000e+00
2.970805223e-06  3.745055e+07  -1.616720e+12  3.745055e+07  0.000000e+00
3.002076857e-06  3.689385e+07  -2.119302e+13  3.689385e+07  0.000000e+00
3.033348491e-06  3.612507e+07  -1.433519e+13  3.612507e+07  0.000000e+00
3.064620125e-06  3.599728e+07  6.337184e+12  3.599728e+07  0.000000e+00
3.095891759e-06  3.652141e+07  1.686757e+13  3.652141e+07  0.000000e+00
3.127163392e-06  3.705223e+07  9.392275e+12  3.705223e+07  0.000000e+00
3.158435026e-06  3.710884e+07  -4.240313e+12  3.710884e+07  0.000000e+00
3.189706660e-06  3.678703e+07  -1.051102e+13  3.678703e+07  0.000000e+00
3.220978294e-06  3.645144e+07  -7.836998e+12  3.645144e+07  0.000000e+00
3.252249928e-06  3.629688e+07  -2.263721e+12  3.629688e+07  0.000000e+00
